assay,scheme,spearman,n
A0A192B1T2_9HIV1_Haddox_2018,fold_random_5,0.8125655320718635,12577
A0A192B1T2_9HIV1_Haddox_2018,fold_modulo_5,0.628111858632084,12577
A0A192B1T2_9HIV1_Haddox_2018,fold_contiguous_5,0.5485523370365827,12577
A0A247D711_LISMN_Stadelmann_2021,fold_random_5,0.6606108355198298,1653
A0A247D711_LISMN_Stadelmann_2021,fold_modulo_5,0.39717795401816,1653
A0A247D711_LISMN_Stadelmann_2021,fold_contiguous_5,0.3219886826526392,1653
A0A2Z5U3Z0_9INFA_Wu_2014,fold_random_5,0.3950458224196971,2350
A0A2Z5U3Z0_9INFA_Wu_2014,fold_modulo_5,0.3339665679897537,2350
A0A2Z5U3Z0_9INFA_Wu_2014,fold_contiguous_5,0.2781427412458264,2350
A4GRB6_PSEAI_Chen_2020,fold_random_5,0.902192389297399,5004
A4GRB6_PSEAI_Chen_2020,fold_modulo_5,0.7882084663633352,5004
A4GRB6_PSEAI_Chen_2020,fold_contiguous_5,0.7596880019107035,5004
AACC1_PSEAI_Dandage_2018,fold_random_5,0.6457746718359767,1801
AACC1_PSEAI_Dandage_2018,fold_modulo_5,0.5307162794723692,1801
AACC1_PSEAI_Dandage_2018,fold_contiguous_5,0.5017461619734984,1801
ADRB2_HUMAN_Jones_2020,fold_random_5,0.6088727282530061,7800
ADRB2_HUMAN_Jones_2020,fold_modulo_5,0.5753974945818958,7800
ADRB2_HUMAN_Jones_2020,fold_contiguous_5,0.5798346917303958,7800
AMFR_HUMAN_Tsuboyama_2023_4G3O,fold_random_5,0.9522492822736154,820
AMFR_HUMAN_Tsuboyama_2023_4G3O,fold_modulo_5,0.846471327609174,820
AMFR_HUMAN_Tsuboyama_2023_4G3O,fold_contiguous_5,0.8477323899822677,820
ANCSZ_Hobbs_2022,fold_random_5,0.8046568456842482,4670
ANCSZ_Hobbs_2022,fold_modulo_5,0.6373917159172018,4670
ANCSZ_Hobbs_2022,fold_contiguous_5,0.586719575592193,4670
B2L11_HUMAN_Dutta_2010_binding-Mcl-1,fold_random_5,0.9026801253045598,170
B2L11_HUMAN_Dutta_2010_binding-Mcl-1,fold_modulo_5,-0.0757628495185056,170
B2L11_HUMAN_Dutta_2010_binding-Mcl-1,fold_contiguous_5,-0.0436843937201165,170
BCHB_CHLTE_Tsuboyama_2023_2KRU,fold_random_5,0.9425609988687244,890
BCHB_CHLTE_Tsuboyama_2023_2KRU,fold_modulo_5,0.7836669681469757,890
BCHB_CHLTE_Tsuboyama_2023_2KRU,fold_contiguous_5,0.7261392771145049,890
BLAT_ECOLX_Firnberg_2014,fold_random_5,0.922665243835886,4783
BLAT_ECOLX_Firnberg_2014,fold_modulo_5,0.8456547238452373,4783
